"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"CON1","S4B-PH-K-S","2457mil","361.454mil","2457mil","479.564mil","2457mil","479.564mil","T","270.00","Atom(4)"
"S1","LX0820L20140926-01","-2000mil","-3000mil","745mil","203mil","-2000mil","-3000mil","B","360.00","LX0820"
"ANT1","ANT_2450AT18A100","1075mil","58mil","1075mil","58mil","1141.929mil","58mil","T","180.00","BLE Antenna"
"ANT2","UFL-R-SMT","998mil","288.898mil","998mil","320mil","998mil","257.795mil","T","360.00","U.FL"
"BZ1","Magnetic_Buzzer","1063mil","562.26mil","1063mil","641mil","1063mil","641mil","T","270.00","Magnetic Buzzer"
"C1","C0201","196mil","689mil","196mil","689mil","186.16mil","689mil","B","360.00","1.0µF"
"C2","C0201","191mil","543mil","191mil","543mil","200.84mil","543mil","B","180.00","1.0µF"
"C3","C0201","230mil","543mil","230mil","543mil","220.16mil","543mil","B","360.00","100nF"
"C4","C0201","1461mil","252mil","1461mil","252mil","1470.84mil","252mil","B","180.00","100nF"
"C5","C0201","1430mil","240mil","1430mil","240mil","1430mil","230.16mil","B","90.00","4.7µF"
"C6","C0201","1389mil","147mil","1389mil","147mil","1389mil","156.84mil","T","270.00","1.0µF"
"C7","C0201","1150mil","302mil","1150mil","302mil","1140.16mil","302mil","T","360.00","0.8pF"
"C8","C0201","1266mil","252mil","1266mil","252mil","1256.16mil","252mil","B","360.00","100nF"
"C9","C0201","1101mil","306mil","1101mil","306mil","1091.16mil","306mil","B","360.00","12pF"
"C10","C0201","1101mil","429mil","1101mil","429mil","1110.84mil","429mil","B","180.00","12pF"
"C11","C0201","1640mil","250mil","1640mil","250mil","1649.84mil","250mil","B","180.00","12pF"
"C12","C0201","1639mil","280mil","1639mil","280mil","1648.84mil","280mil","B","180.00","12pF"
"C13","C0201","1266mil","300mil","1266mil","300mil","1256.16mil","300mil","B","360.00","100pF"
"C15","C0201","1151mil","146mil","1151mil","146mil","1141.16mil","146mil","T","360.00","1.2pF"
"C16","C0201","1131mil","169mil","1131mil","169mil","1140.84mil","169mil","T","180.00","10pF"
"C17","C0201","1448mil","436mil","1448mil","436mil","1448mil","445.84mil","B","270.00","100nF"
"C18","C0201","288.787mil","449mil","288.787mil","449mil","288.787mil","439.16mil","T","90.00","150pF"
"C19","C0201","289mil","266mil","289mil","266mil","289mil","256.16mil","T","90.00","150pF"
"C20","C0201","246mil","303mil","246mil","303mil","246mil","293.16mil","B","90.00","10µF"
"C21","C0201","225mil","303mil","225mil","303mil","225mil","293.16mil","B","90.00","100nF"
"C25","C0201","552mil","554mil","552mil","554mil","552mil","544.16mil","T","90.00","100nF"
"C26","C0201","230mil","490mil","230mil","490mil","230mil","499.84mil","T","270.00",""
"C27","CAPC1005X04L","354mil","356mil","354mil","356mil","354mil","375.685mil","T","270.00","Cap Pol3"
"C28","C0201","2151mil","315mil","2151mil","315mil","2160.84mil","315mil","B","180.00",""
"C29","C0201","884mil","434mil","884mil","434mil","884mil","443.84mil","B","270.00",""
"D1","MSS2P2-M3","327mil","540.827mil","327mil","505mil","327mil","576.26mil","B","90.00","MSS2P2-M3"
"D2","MSS2P2-M3","2386.827mil","555mil","2351mil","555mil","2422.26mil","555mil","B","360.00","MSS2P2-M3"
"D3","MSS2P2-M3","725.827mil","667mil","690mil","667mil","761.26mil","667mil","T","0.00","MSS2P2-M3"
"D4","MSS2P2-M3","986mil","551.173mil","986mil","587mil","986mil","515.74mil","B","270.00","MSS2P2-M3"
"D5","MSS2P2-M3","172mil","561.173mil","172mil","597mil","172mil","525.74mil","T","270.00","MSS2P2-M3"
"FL1","DEA202450BT-1294C1-H","1140.551mil","226.803mil","1175mil","227mil","1140.551mil","239.598mil","T","180.00","DEA202450BT-1294C1-H"
"J2","FCI_10118193-0001LF","125.343mil","364mil","178mil","364mil","178mil","312.819mil","B","360.00","MicroUSB-B"
"L1","C0201","1150mil","275mil","1150mil","275mil","1159.84mil","275mil","T","180.00","3.9nH"
"L2","INDC1608X06L","1433mil","123mil","1433mil","123mil","1433mil","96.425mil","T","90.00","10µH"
"L3","C0201","1389mil","106mil","1389mil","106mil","1389mil","115.84mil","T","270.00","15nH"
"LED1","HSMF-C114","2148.472mil","89.346mil","2178mil","111mil","2178mil","109mil","T","180.00","HSMF-C114"
"LED2","HSMF-C114","2147.472mil","644.346mil","2177mil","666mil","2177mil","664mil","T","180.00","HSMF-C114"
"P5","CON4","391mil","70mil","541mil","70mil","541mil","70mil","T","180.00","JTAG"
"P21","CON2","2477mil","363.583mil","2382mil","554mil","2477mil","648.425mil","T","90.00","BAT_HOLE"
"P22","CON2","75.591mil","365.433mil","-131mil","422mil","75.591mil","80.591mil","T","90.00","BAT_HOLE2"
"MOTOR+","Soldering_PAD","656mil","655mil","656mil","655mil","656mil","655mil","B","90.00","Soldering_PAD"
"MOTOR-","Soldering_PAD","798mil","656mil","798mil","656mil","798mil","656mil","B","90.00","Soldering_PAD"
"Q1","BC847CDLP-7","2156.69mil","548.597mil","2156mil","548mil","2180.498mil","527.14mil","B","180.00","BC847CDLP-7"
"Q2","SI5999EDU","2326.705mil","411.25mil","2365mil","375mil","2365mil","375mil","B","180.00","SI5999EDU"
"Q3","BC847CDLP-7","2037.403mil","335.69mil","2038mil","335mil","2058.86mil","359.498mil","B","270.00","BC847CDLP-7"
"Q4","BC847CDLP-7","2332.066mil","292.69mil","2332mil","292mil","2364.073mil","294.573mil","B","225.00","BC847CDLP-7"
"Q5","BC847CDLP-7","852.31mil","626.597mil","853mil","626mil","828.502mil","605.14mil","T","0.00","BC847CDLP-7"
"Q7","SI5999EDU","309.295mil","652.25mil","271mil","616mil","271mil","616mil","T","0.00","SI5999EDU"
"Q8","BC847CDLP-7","2182.597mil","167.31mil","2182mil","168mil","2161.14mil","143.502mil","B","90.00","BC847CDLP-7"
"R6","R0201","855mil","570mil","855mil","570mil","844.96mil","570mil","T","0.00","470"
"R7","R0201","2301mil","376mil","2301mil","376mil","2311.04mil","376mil","T","180.00","4.7K"
"R8","R0201","2310mil","310mil","2310mil","310mil","2310mil","299.96mil","T","90.00","4.7K"
"R9","R0201","2290mil","435mil","2290mil","435mil","2300.04mil","435mil","T","180.00","4K"
"R10","R0201","2240mil","445mil","2240mil","445mil","2240mil","434.96mil","T","90.00","10K"
"R11","R0201","473mil","616mil","473mil","616mil","462.96mil","616mil","T","360.00","402K"
"R12","R0201","524mil","616mil","524mil","616mil","534.04mil","616mil","T","180.00","2K"
"R13","RL0503-5820-97-MS","471.299mil","675mil","440mil","675mil","440mil","675mil","T","360.00","10K"
"R14","R0201","276mil","555mil","276mil","555mil","276mil","565.04mil","T","270.00","19.6K"
"R15","R0402","230mil","549mil","230mil","549mil","230mil","529.315mil","T","90.00","0.05"
"R17","RESC1005X04L","879mil","688mil","879mil","688mil","859.315mil","688mil","T","360.00","470"
"R19","R0201","2063mil","405mil","2063mil","405mil","2063mil","415.04mil","B","270.00","464"
"R20","R0201","2101mil","487mil","2101mil","487mil","2101mil","476.96mil","B","90.00","162"
"R21","R0201","2235mil","520mil","2235mil","520mil","2245.04mil","520mil","B","180.00","162"
"R22","R0201","2029mil","405mil","2029mil","405mil","2029mil","415.04mil","B","270.00","464"
"R23","R0201","2090mil","540mil","2090mil","540mil","2079.96mil","540mil","B","360.00","162"
"R24","R0201","2235mil","556mil","2235mil","556mil","2245.04mil","556mil","B","180.00","162"
"R25","R0201","2350mil","297mil","2350mil","297mil","2350mil","307.04mil","T","270.00","4.7K"
"R26","R0201","2388mil","341mil","2388mil","341mil","2377.96mil","341mil","B","360.00","4.7K"
"R27","R0201","2283mil","202mil","2283mil","202mil","2293.04mil","202mil","T","180.00","15K"
"R28","R0201","1827mil","602mil","1827mil","602mil","1827mil","612.04mil","B","270.00","464"
"R29","R0201","1927mil","602mil","1927mil","602mil","1927mil","612.04mil","B","270.00","162"
"R30","R0201","2024mil","602mil","2024mil","602mil","2024mil","612.04mil","B","270.00","162"
"R33","R0201","1270mil","171mil","1270mil","171mil","1280.04mil","171mil","T","180.00","4.7K"
"R34","R0201","2047mil","269mil","2047mil","269mil","2047mil","258.96mil","B","90.00","464"
"R35","R0201","2163mil","224mil","2163mil","224mil","2152.96mil","224mil","B","360.00","162"
"R36","R0201","2190mil","95mil","2190mil","95mil","2190mil","84.96mil","B","90.00","162"
"R37","R0201","2164mil","487mil","2164mil","487mil","2164mil","497.04mil","B","270.00","27K"
"R38","R0201","2148mil","617mil","2148mil","617mil","2148mil","606.96mil","B","90.00","27K"
"R39","R0201","2100mil","344mil","2100mil","344mil","2089.96mil","344mil","B","360.00","27K"
"R40","R0201","2119mil","163mil","2119mil","163mil","2129.04mil","163mil","B","180.00","27K"
"R41","R0201","2248mil","176mil","2248mil","176mil","2237.96mil","176mil","B","360.00","27K"
"R42","R0201","1970mil","328mil","1970mil","328mil","1959.96mil","328mil","B","360.00","27K"
"R43","R0201","2151mil","381mil","2151mil","381mil","2140.96mil","381mil","B","360.00","10K"
"R44","R0201","2151mil","346mil","2151mil","346mil","2161.04mil","346mil","B","180.00","470"
"R45","R0201","836mil","500mil","836mil","500mil","846.04mil","500mil","B","180.00","10K"
"R46","R0201","846mil","454mil","846mil","454mil","846mil","443.96mil","B","90.00","470"
"ATOM","ALPS_SKHUxxx010_WO_GND","2063mil","367.001mil","2063mil","367mil","1984.26mil","499.875mil","T","90.00","Atomizer_Power_Button"
"BLE","ALPS_SKHUxxx010_WO_GND","755mil","362.001mil","755mil","362mil","676.26mil","494.875mil","T","90.00","Bluetooth Button"
"TP1","TP","2242mil","334mil","2242mil","334mil","2242mil","334mil","T","90.00","TP"
"TP2","TP","2280mil","489mil","2280mil","489mil","2280mil","489mil","T","90.00","TP"
"TP3","TP","2241mil","391mil","2241mil","391mil","2241mil","391mil","T","90.00","TP"
"TP4","TP","2352mil","489mil","2352mil","489mil","2352mil","489mil","T","90.00","TP"
"TP5","TP","2391mil","313mil","2391mil","313mil","2391mil","313mil","T","90.00","TP"
"TP6","TP","2352mil","490mil","2352mil","490mil","2352mil","490mil","B","90.00","TP"
"TP7","TP","593mil","509mil","593mil","509mil","593mil","509mil","T","90.00","TP"
"TP8","TP","2181mil","664mil","2181mil","664mil","2181mil","664mil","B","180.00","TP"
"TP9","TP","2132mil","664mil","2132mil","664mil","2132mil","664mil","B","90.00","TP"
"TP10","TP","2232mil","664.016mil","2232mil","664.016mil","2232mil","664.016mil","B","0.00","TP"
"TP12","TP","327mil","634mil","327mil","634mil","327mil","634mil","B","360.00","TP"
"TP13","TP","265mil","506mil","265mil","506mil","265mil","506mil","B","180.00","TP"
"U1","QFN40P600X600X90-48N","1362mil","339mil","1362mil","339mil","1481.094mil","252.386mil","T","180.00","nRF52832-QFAA"
"U2","SOT-23A","212.661mil","614.598mil","254mil","652mil","254mil","652mil","B","270.00","AP7333-33SAG-7"
"U3","LTC4050EMS","419mil","525mil","499mil","485mil","499.709mil","485.63mil","T","90.00","LTC4050EMS"
"X1","BT-XTAL_2016","1102mil","367mil","1102mil","367mil","1124.638mil","395.543mil","B","270.00","32MHz"
"X2","XTAL_3215","1629mil","258mil","1629mil","258mil","1629mil","208.787mil","T","90.00","32.768kHz"
"H1","SCREW_HOLE2","505mil","363.583mil","505mil","379mil","505mil","363.583mil","T","0.00","NY PMS 440 0025 PH"
"H2","SCREW_HOLE2","1815mil","363.583mil","1815mil","386mil","1815mil","363.583mil","T","0.00","NY PMS 440 0025 PH"
"NFC","Molex_051281-0594","220.512mil","359.89mil","200.787mil","398mil","265.787mil","399.26mil","T","270.00","Header 5"

