"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P23","Molex_051281-0594","105.63mil","363.622mil","150.905mil","402.992mil","150.905mil","402.992mil","T","270.00","Molex 051281-0594"
"BZ1","PiezoBuzzer","252.913mil","153.661mil","331.654mil","153.661mil","331.654mil","153.661mil","T","180.00","Piezo Buzzer"
"S1","LX0820L20140926-01","-2000mil","-3000mil","638.504mil","523.583mil","-2000mil","-3000mil","B","180.00","LX0820"
"R36","RESC1005X04L","2178mil","160mil","2178mil","160mil","2158.315mil","160mil","B","360.00","51"
"R35","RESC1005X04L","2177mil","206mil","2177mil","206mil","2196.685mil","206mil","B","180.00","51"
"R34","RESC1005X04L","2071mil","115.466mil","2071mil","115.466mil","2051.315mil","115.466mil","B","360.00","300"
"Q8","SI5936DU","2075.01mil","204.503mil","2075.172mil","204mil","2038.759mil","166.208mil","B","90.00","SI5936DU"
"U5","CP2102-GM","274.762mil","599.451mil","274.609mil","598.857mil","215.706mil","504.962mil","T","360.00","CP2102-GM"
"P5","CON4","1868mil","613.87mil","1818mil","663.87mil","1818mil","663.87mil","T","0.00","JTAG"
"P22","CON2","2470mil","363.583mil","2875mil","50.315mil","2470mil","648.426mil","T","90.00","BAT_HOLE2"
"P21","CON2","80.593mil","365.417mil","358.743mil","589mil","80.593mil","80.574mil","T","270.00","BAT_HOLE"
"PAD2","Soldering_PAD","734.606mil","100.984mil","734.606mil","100.984mil","734.606mil","100.984mil","B","360.00","Soldering_PAD"
"PAD1","Soldering_PAD","554mil","101mil","554mil","101mil","554mil","101mil","B","180.00","Soldering_PAD"
"CON1","S4B-PH-K-S","2468mil","361.454mil","2468mil","479.564mil","2468mil","479.564mil","T","270.00","Atom(4)"
"X2","XTAL_3215","921.314mil","419.401mil","921.315mil","419.402mil","921.314mil","468.614mil","T","270.00","32.768kHz"
"X1","BT-XTAL_2016","1469.98mil","545.873mil","1469.979mil","545.874mil","1492.618mil","517.33mil","T","90.00","32MHz"
"U3","LTC4050EMS","956.866mil","389.461mil","996.865mil","309.461mil","996.236mil","308.752mil","B","180.00","LTC4050EMS"
"U2","SOT-23A","1073.076mil","122.661mil","1035.674mil","81.323mil","1035.674mil","81.322mil","T","360.00","AP7333-33SAG-7"
"U1","QFN40P600X600X90-48N","1239.028mil","426.078mil","1239.028mil","426.078mil","1119.934mil","512.692mil","T","0.00","nRF52832-QFAA"
"TP-3","TP","1337.484mil","651.55mil","1337.483mil","651.55mil","1337.484mil","651.55mil","B","180.00","TP"
"TP-2","TP","1535mil","302.992mil","1535mil","302.992mil","1535mil","302.992mil","B","90.00","TP"
"TP-1","TP","1440mil","303mil","1440mil","303mil","1440mil","303mil","B","90.00","TP"
"TP7","TP","1538.98mil","651.468mil","1538.979mil","651.467mil","1538.98mil","651.468mil","B","90.00","TP"
"TP6","TP","1399.884mil","501.468mil","1399.884mil","501.467mil","1399.884mil","501.468mil","B","180.00","TP"
"TP5","TP","1148.98mil","651.468mil","1148.979mil","651.467mil","1148.98mil","651.468mil","B","360.00","TP"
"SW3","ALPS_SKHUxxx010_WO_GND","681mil","365mil","681mil","365mil","602.26mil","497.874mil","T","90.00","Bluetooth Button"
"SW2","ALPS_SKHUxxx010_WO_GND","2183.802mil","365mil","2183.803mil","365mil","2105.062mil","497.874mil","T","90.00","Atomizer_Power_Button"
"R33","RESC1005X04L","1332.342mil","633.777mil","1332.341mil","633.778mil","1332.342mil","614.092mil","T","90.00","4.7K"
"R32","RESC1005X04L","1294.146mil","633.777mil","1294.146mil","633.778mil","1294.146mil","614.092mil","T","90.00","4.7K"
"R30","RESC1005X04L","2086mil","588.539mil","2086mil","588.539mil","2086mil","608.224mil","B","270.00","300"
"R29","RESC1005X04L","2213.315mil","430.188mil","2213.315mil","430.188mil","2233mil","430.188mil","B","180.00","300"
"R28","RESC1005X04L","2293.738mil","496.255mil","2293.738mil","496.256mil","2293.738mil","515.94mil","B","270.00","300"
"R27","RESC1005X04L","1858.957mil","105.922mil","1858.958mil","105.921mil","1878.642mil","105.922mil","T","180.00","15K"
"R26","RESC1005X04L","1472.736mil","446.703mil","1472.735mil","446.703mil","1472.736mil","466.388mil","B","270.00","4.7K"
"R25","RESC1005X04L","1253.001mil","652.001mil","1253mil","652mil","1233.316mil","652.001mil","B","360.00","4.7K"
"R24","RESC1005X04L","2093.315mil","366.886mil","2093.315mil","366.886mil","2113mil","366.886mil","B","180.00","51"
"R23","RESC1005X04L","2154.782mil","300mil","2154.782mil","300mil","2154.782mil","280.314mil","B","90.00","51"
"R22","RESC1005X04L","2268.001mil","235.188mil","2268mil","235.189mil","2248.316mil","235.188mil","B","360.00","300"
"R21","RESC1005X04L","2143mil","588.575mil","2143mil","588.574mil","2143mil","608.26mil","B","270.00","51"
"R20","RESC1005X04L","2189.684mil","496.547mil","2189.683mil","496.548mil","2189.684mil","516.232mil","B","270.00","51"
"R19","RESC1005X04L","2248.738mil","496.547mil","2248.738mil","496.548mil","2248.738mil","516.232mil","B","270.00","300"
"R18","RESC1005X04L","642mil","64mil","642mil","64mil","622.314mil","64mil","T","360.00","1K"
"R17","RESC1005X04L","643.999mil","124mil","644mil","124mil","663.684mil","124mil","T","180.00","1K"
"R10","RESC1005X04L","1544.569mil","408.468mil","1544.569mil","408.467mil","1524.884mil","408.468mil","B","360.00","10K"
"R9","RESC1005X04L","1544.569mil","452.546mil","1544.569mil","452.546mil","1564.254mil","452.546mil","B","180.00","27K"
"R8","RESC1005X04L","1429.197mil","401.999mil","1429.197mil","402mil","1429.197mil","421.684mil","B","270.00","4.7K"
"R7","RESC1005X04L","1431.735mil","651.468mil","1431.735mil","651.467mil","1451.42mil","651.468mil","B","180.00","4.7K"
"R6","RESC1005X04L","910.6mil","648.352mil","910.6mil","648.352mil","910.6mil","628.666mil","T","90.00","1K"
"R5","RESC1005X04L","460.343mil","654.642mil","460.343mil","654.642mil","440.658mil","654.642mil","T","360.00","10K"
"R4","RESC1005X04L","460.343mil","609.104mil","460.343mil","609.105mil","480.028mil","609.104mil","T","180.00","4.7K"
"R3","RESC1005X04L","98.001mil","168.388mil","98mil","168.388mil","78.316mil","168.388mil","B","360.00","10k"
"R2","RESC1005X04L","257.236mil","349mil","257.236mil","349mil","257.236mil","368.686mil","T","270.00","0R"
"R1","RESC1005X04L","257.236mil","428.001mil","257.236mil","428mil","257.236mil","408.316mil","T","90.00","0R"
"Q7","SI5999EDU","1067.684mil","566.719mil","1031.434mil","528.424mil","1031.434mil","528.424mil","B","90.00","SI5999EDU"
"Q6","MMBT2222ALT1G","389.935mil","601.054mil","387mil","601.829mil","348.596mil","563.653mil","B","180.00","MMBT2222ALT1G"
"Q5","MMBT2222ALT1G","790.769mil","636.68mil","793.704mil","637.455mil","832.108mil","599.278mil","T","360.00","MMBT2222ALT1G"
"Q4","BC847CDLP-7","1410.933mil","576.298mil","1409.939mil","576.467mil","1389.428mil","552.49mil","B","90.00","BC847CDLP-7"
"Q3","SI5936DU","2243.819mil","341.47mil","2243.315mil","341.308mil","2205.524mil","377.72mil","B","360.00","SI5936DU"
"Q2","SI5999EDU","1552.448mil","544.763mil","1516.199mil","506.467mil","1516.198mil","506.468mil","B","90.00","SI5999EDU"
"Q1","SI5936DU","2093.503mil","462.262mil","2093mil","462.099mil","2055.208mil","498.512mil","B","360.00","SI5936DU"
"LED2","HSMF-C114","2207.291mil","91.096mil","2236.819mil","112.75mil","2236.819mil","110.75mil","T","180.00","HSMF-C114"
"LED1","HSMF-C114","2207.292mil","632.346mil","2236.819mil","654mil","2236.82mil","652mil","T","180.00","HSMF-C114"
"L3","INDC1005X04L","1119.934mil","661.462mil","1119.934mil","661.463mil","1138.634mil","661.462mil","T","180.00","15nH"
"L2","INDC1608X06L","1107.651mil","610.26mil","1107.65mil","610.26mil","1081.076mil","610.26mil","T","360.00","10µH"
"L1","INDC1005X04L","1477.878mil","364.474mil","1477.878mil","364.474mil","1477.878mil","383.174mil","T","270.00","3.9nH"
"J2","FCI_10118193-0001LF","149.343mil","363.583mil","202mil","363.583mil","202mil","312.402mil","B","360.00","MicroUSB-B"
"FL1","DEA202450BT-1294C1-H","1530.995mil","355.025mil","1530.798mil","389.474mil","1518.2mil","355.026mil","T","270.00","DEA202450BT-1294C1-H"
"ANT1","ANT_2450AT18A100","1604.001mil","76mil","1604mil","76mil","1537.072mil","76mil","T","360.00","BLE Antenna"
"D5","MSS2P2-M3","951.275mil","659.462mil","988.676mil","659.461mil","913.874mil","659.462mil","B","180.00","MSS2P2-M3"
"D3","MSS2P2-M3","651.769mil","640.11mil","614.367mil","640.109mil","689.17mil","640.11mil","T","360.00","MSS2P2-M3"
"D2","MSS2P2-M3","1216.578mil","571.55mil","1253.979mil","571.55mil","1179.176mil","571.55mil","B","180.00","MSS2P2-M3"
"D1","SOT-363","1222mil","77.656mil","1196.41mil","46.161mil","1196.41mil","46.16mil","T","360.00","SD103ATW-7-F"
"C27","C0805","1087.254mil","394.464mil","1087.251mil","394.461mil","1087.254mil","361mil","B","90.00","Cap Pol3"
"C26","CAPC1608X06L","932.677mil","544.462mil","932.676mil","544.461mil","959.252mil","544.462mil","B","180.00",""
"C24","CAPC1005X04L","460.343mil","520.98mil","460.343mil","520.979mil","480.028mil","520.98mil","T","180.00","100nF"
"C23","CAPC1005X04L","460.343mil","564.548mil","460.343mil","564.548mil","480.028mil","564.548mil","T","180.00","100nF"
"C22","CAPC1005X04L","238mil","141.049mil","238mil","141.048mil","238mil","121.364mil","B","90.00","100nF"
"C21","CAPC1005X04L","582mil","225mil","582mil","225mil","601.686mil","225mil","B","180.00","100nF"
"C20","CAPC1608X06L","688mil","225mil","688mil","225mil","714.574mil","225mil","B","180.00","10µF"
"C19","CAPC1005X04L","217mil","348.001mil","217mil","348mil","217mil","328.316mil","T","90.00","300pF"
"C18","CAPC1005X04L","217mil","428.001mil","217mil","428mil","217mil","408.316mil","T","90.00","300pF"
"C17","CAPC1005X04L","1041mil","319.402mil","1041mil","319.402mil","1060.686mil","319.402mil","T","180.00","100nF"
"C16","CAPC1005X04L","1595mil","288.001mil","1595mil","288mil","1595mil","268.316mil","T","90.00","10pF"
"C15","CAPC1005X04L","1518mil","269mil","1518mil","269mil","1537.685mil","269mil","T","180.00","1.2pF"
"C14","CAPC1005X04L","1460.211mil","428.762mil","1460.212mil","428.762mil","1440.526mil","428.762mil","T","360.00","N.C."
"C13","CAPC1005X04L","1460.411mil","465.24mil","1460.41mil","465.24mil","1440.726mil","465.24mil","T","360.00","100pF"
"C12","CAPC1005X04L","946mil","319.402mil","946mil","319.402mil","965.686mil","319.402mil","T","180.00","12pF"
"C11","CAPC1005X04L","971mil","537.001mil","971mil","537mil","971mil","517.316mil","T","90.00","12pF"
"C10","CAPC1005X04L","1539.98mil","540.341mil","1539.979mil","540.341mil","1539.98mil","520.656mil","T","90.00","12pF"
"C9","CAPC1005X04L","1467.979mil","630.81mil","1467.979mil","630.811mil","1448.294mil","630.81mil","T","0.00","12pF"
"C8","CAPC1005X04L","1387.342mil","568.651mil","1387.341mil","568.652mil","1387.342mil","548.966mil","T","90.00","100nF"
"C7","CAPC1005X04L","1438.798mil","364.475mil","1438.798mil","364.474mil","1438.798mil","344.79mil","T","90.00","0.8pF"
"C6","CAPC1608X06L","1199.658mil","632.259mil","1199.658mil","632.26mil","1199.658mil","658.834mil","T","270.00","1.0µF"
"C5","CAPC1608X06L","1047.651mil","557.172mil","1047.65mil","557.173mil","1074.226mil","557.172mil","T","180.00","4.7µF"
"C4","CAPC1005X04L","1037.341mil","510.84mil","1037.341mil","510.841mil","1057.026mil","510.84mil","T","180.00","100nF"
"C3","CAPC1005X04L","1223.001mil","149.414mil","1223mil","149.414mil","1203.316mil","149.414mil","T","360.00","100nF"
"C2","CAPC1608X06L","1220.631mil","198.886mil","1220.631mil","198.886mil","1194.056mil","198.886mil","T","360.00","1.0µF"
"C1","CAPC1608X06L","963.688mil","115.225mil","963.688mil","115.224mil","963.688mil","141.8mil","T","270.00","1.0µF"
